,esu18,nqu18,ymu18
0,2888.25,7531.75,25973.0
1,2898.25,7638.75,25985.0
2,2902.0,7661.25,25988.0
3,2902.0,7649.0,26010.0
4,2914.75,7668.75,26147.0
5,2899.25,7578.0,26085.0
6,2898.5,7568.0,26077.0
7,2876.75,7495.75,25792.0
8,2858.0,7424.5,25671.0
9,2861.25,7433.25,25717.0
10,2861.75,7397.5,25807.0
11,2858.5,7387.0,25758.0
12,2852.25,7387.75,25674.0
13,2844.75,7389.0,25592.0
14,2821.25,7374.0,25187.0
15,2841.0,7457.75,25294.0
16,2825.5,7417.0,25215.0
17,2836.75,7427.0,25331.0
18,2853.75,7475.5,25493.0
19,2855.25,7471.5,25536.0
20,2859.75,7477.25,25600.0
21,2850.0,7444.0,25468.0
22,2839.5,7402.0,25410.0
23,2828.5,7385.75,25305.0
24,2810.75,7277.0,25289.0
25,2817.0,7244.75,25395.0
26,2803.25,7200.5,25285.0
27,2817.5,7301.25,25414.0
28,2842.5,7430.75,25525.0
29,2841.25,7469.5,25403.0
30,2821.0,7416.25,25214.0
31,2812.0,7430.5,25033.0
32,2800.75,7360.0,25030.0
33,2805.25,7367.75,25059.0
34,2816.0,7404.5,25161.0
35,2811.25,7421.75,25106.0
36,2796.5,7325.0,25041.0
37,2803.25,7393.0,25004.0
38,2798.5,7382.75,24894.0
39,2774.0,7253.75,24689.0
40,2796.75,7301.5,24927.0
41,2787.5,7300.25,24774.0
42,2763.0,7233.5,24456.0
43,2738.5,7125.75,24343.0
44,2713.25,7023.75,24163.0
45,2727.25,7116.5,24286.0
46,2721.5,7066.75,24265.0
47,2719.5,7060.5,24220.0
48,2705.0,6998.25,24135.0
49,2728.5,7104.0,24303.0
50,2722.25,7073.5,24279.0
51,2759.5,7222.75,24599.0
52,2752.5,7237.75,24472.0
53,2772.0,7313.25,24670.0
54,2766.25,7252.25,24715.0
55,2779.75,7276.0,25016.0
56,2784.5,7281.5,25109.0
57,2788.5,7311.25,25210.0
58,2779.0,7231.0,25208.0
59,2788.25,7226.25,25315.0
60,2786.75,7196.0,25348.0
61,2782.5,7176.5,25321.0
62,2776.0,7184.75,25284.0
63,2776.0,7239.0,25156.0
64,2755.5,7203.25,24839.0
65,2749.75,7173.25,24818.0
66,2738.25,7108.0,24651.0
67,2709.75,7001.5,24439.0
68,2729.0,7012.0,24691.0
69,2696.5,6969.25,24400.0
70,2722.75,6985.0,24753.0
71,2732.0,6982.25,24826.0
72,2735.5,6982.0,24883.0
73,2731.0,6934.25,24868.0
74,2737.75,6940.75,25024.0
75,2717.75,6899.0,24744.0
76,2723.5,6931.0,24725.0
77,2727.5,6962.25,24755.0
78,2713.25,6915.25,24674.0
79,2735.25,6999.0,24899.0
80,2733.5,6985.0,24837.0
81,2722.75,6990.0,24706.0
82,2700.25,6920.75,24515.0
83,2674.25,6845.5,24319.0
84,2674.25,6851.0,24313.0
85,2667.5,6798.75,24240.0
86,2636.0,6688.25,23923.0
87,2631.75,6657.25,23837.0
88,2656.5,6715.25,24084.0
89,2651.5,6636.5,24143.0
90,2675.75,6693.75,24291.0
91,2679.0,6759.0,24330.0
92,2649.25,6580.75,24094.0
93,2639.5,6552.5,24003.0
94,2676.0,6693.0,24433.0
95,2676.5,6702.75,24455.0
96,2698.0,6806.25,24657.0
97,2714.5,6870.0,24753.0
98,2711.25,6855.25,24728.0
99,2686.25,6738.25,24585.0
100,2661.75,6666.75,24359.0
101,2668.25,6696.75,24480.0
102,2645.25,6618.75,24187.0
103,2659.25,6650.25,24374.0
104,2623.0,6523.5,24040.0
105,2610.0,6481.5,23955.0
106,2666.0,6627.5,24496.0
107,2651.0,6610.0,24293.0
108,2617.25,6498.0,24012.0
109,2579.0,6423.75,23583.0
110,2647.75,6627.0,24178.0
111,2612.25,6508.5,23890.0
112,2620.25,6592.75,23890.0
113,2664.5,6805.75,24227.0
114,2602.5,6586.75,23650.0
115,2648.5,6725.5,24008.0
116,2724.75,6917.75,24773.0
117,2730.25,6952.5,24812.0
118,2729.25,6949.5,24739.0
119,2763.0,7078.0,25013.0
120,2762.25,7103.5,24966.0
121,2760.75,7092.5,24832.0
122,2779.5,7117.0,25103.0
123,2796.25,7195.75,25284.0
124,2796.25,7151.0,25411.0
125,2751.0,7029.0,24966.0
126,2735.0,6979.0,24870.0
127,2735.5,6963.0,24922.0
128,2730.0,6934.5,24952.0
129,2701.75,6861.75,24608.0
130,2690.0,6818.75,24706.0
131,2726.75,6923.25,25118.0
132,2760.25,6972.25,25497.0
133,2796.5,7055.0,25820.0
134,2760.0,6964.5,25375.0
135,2722.25,6842.75,25076.0
136,2710.0,6812.0,24838.0
137,2724.75,6840.0,25009.0
138,,6836.5,
139,,6863.5,
140,,6731.75,
141,,6607.5,
142,,6578.75,
143,,6461.25,
144,,6364.25,
145,,6604.0,
146,,6701.25,
147,,6482.0,
148,,6807.25,
149,,6950.0,
150,,7014.25,
151,,6993.0,
152,,7044.0,
153,,7080.75,
154,,6983.0,
155,,6983.25,
156,,7017.25,
157,,6974.0,
158,,6888.25,
159,,6855.5,
160,,6866.0,
161,,6803.75,
162,,6815.75,
163,,6768.0,
164,,6718.25,
165,,6726.75,
166,,6721.25,
167,,6700.25,
168,,6635.75,
169,,6616.75,
170,,6547.25,
171,,6441.25,
172,,6478.25,
173,,6487.0,
174,,6492.0,
175,,6515.25,
176,,6524.0,
177,,6521.75,
178,,6533.0,
179,,6566.5,
180,,6529.0,
181,,6437.5,
182,,6445.75,
183,,6431.5,
184,,6444.5,
185,,6387.0,
186,,6370.25,
187,,6340.25,
188,,6318.75,
189,,6312.0,
190,,6392.5,
191,,6414.5,
192,,6350.5,
193,,6464.5,
194,,6457.5,
195,,6457.5,
196,,6433.75,
197,,6423.5,
198,,6359.5,
199,,6352.75,
200,,6380.25,
201,,6305.5,
202,,6333.0,
203,,6351.25,
204,,6348.25,
205,,6353.25,
206,,6379.5,
207,,6354.25,
208,,6350.5,
209,,6326.75,
210,,6272.0,
211,,6277.0,
212,,6286.0,
213,,6260.75,
214,,6251.25,
215,,6121.25,
216,,6100.75,
